2B,413,AER,29,34,5,KZN,1200,1324,07MAY,170.45,136.60,540.00,63.27,82.23,73.43
2B,320,ASF,29,6,6,KZN,2110,2235,07MAY,180.45,136.60,796.00,84.03,54.37,45.18
2B,167,ASF,2,96,6,MRV,1200,1324,07MAY,120.45,136.60,123.00,36.40,61.66,67.16
2B,470,CEK,2,6,8,KZN,1324,1620,08MAY,144.45,136.60,540.00,76.02,71.50,26.76
2B,819,CEK,1,9,28,OVB,1620,2230,08MAY,170.45,236.60,540.00,55.73,74.58,32.73
2I,839,AYP,3,8,6,LIM,0655,0925,07MAY,130.45,136.60,540.00,40.77,84.37,85.18
2I,233,CUZ,4,8,12,LIM,0755,1025,07MAY,170.45,436.60,640.00,40.73,61.18,33.28
2I,592,CUZ,6,1,2,PEM,0635,0925,08MAY,120.45,136.60,578.00,27.06,88.00,54.88
2I,594,HUU,5,6,7,LIM,0625,0825,07MAY,190.45,136.60,550.00,44.08,23.01,67.67
2I,301,IQT,4,8,3,PCL,0655,1925,07MAY,190.45,436.60,540.00,56.33,35.75,22.71
2I,343,IQT,3,0,1,TPP,1620,2230,07MAY,180.45,136.60,440.00,83.38,26.05,62.43
2I,459,LIM,2,7,9,AYP,1200,1324,02JUN,170.45,136.60,340.00,50.47,37.03,81.74
2I,856,LIM,5,8,9,CUZ,0750,2045,02JUN,170.45,436.60,57.00,50.08,41.60,44.53
2I,256,LIM,27,8,9,HUU,1620,2230,02JUN,76.45,136.60,540.00,64.72,87.34,31.01
2I,146,LIM,2,7,1,PCL,1200,1324,07JUN,576.45,136.60,765.00,34.62,67.74,33.00
2I,484,LIM,27,8,1,TPP,1200,1424,07JUN,170.45,566.60,540.00,37.35,51.74,33.82
2I,938,PCL,27,8,1,IQT,1620,2230,07JUN,760.45,136.60,235.00,65.77,58.53,22.67
2J,845,ABJ,2,5,3,BOY,1100,1524,07JUN,170.45,326.60,540.00,25.46,48.42,65.55
2J,995,ABJ,1,4,3,OUA,0750,2045,07JUN,170.45,1346.60,534.00,54.73,78.53,76.56
2J,456,ACC,2,4,8,OUA,0750,2045,07JUN,146.45,137.65,540.00,32.22,83.43,63.48
2J,246,BKO,10,4,4,ABJ,1620,2230,07JUN,170.45,176.60,788.00,72.74,52.30,41.54
2J,470,BKO,1,0,44,DKR,1025,1220,07JUN,345.45,176.90,234.00,76.08,83.02,80.64
2J,474,BKO,1,4,4,OUA,1025,1220,10MAY,170.45,136.60,540.00,76.50,20.41,30.33
2J,435,BOY,2,4,7,ABJ,1025,1220,10MAY,345.45,176.90,234.00,61.60,42.85,81.01
2J,260,BOY,2,5,7,OUA,1620,2230,11MAY,345.45,176.90,234.00,68.21,27.21,64.30
2J,476,COO,2,4,5,LFW,1000,1345,10MAY,345.45,176.90,234.00,80.53,70.87,80.67
2J,431,COO,2,4,5,OUA,1620,2230,8MAY,345.45,176.90,334.00,87.74,78.26,67.45
AA,224,CDG,1,38,2,CLT,1200,1324,10MAY,345.45,176.90,498.00,30.22,24.16,34.23
AA,183,CDG,13,8,2,DFW,1200,1324,10MAY,455.45,1356.90,477.34,87.22,27.16,41.64
AA,453,CDG,1,3,8,JFK,1200,1924,10MAY,345.45,346.90,574.00,33.78,87.26,82.55
AA,424,CDG,13,8,2,KUL,1100,1524,12MAY,745.45,176.90,234.00,37.20,25.58,43.18
AA,524,CDG,1,3,2,LHR,0750,2045,12MAY,255.45,176.90,234.00,81.18,65.76,54.74
AA,234,CDG,13,8,2,MIA,0750,2045,12MAY,445.45,566.90,234.00,63.36,73.22,45.10
AA,897,CDG,12,8,2,ORD,0755,1025,12MAY,345.45,176.90,786.00,23.38,88.42,46.81
